,name,current alias,affiliation,marital status,gender,hair color,origin,living status,reality,place of birth,identity,citenzenship,education,creators,occupation
0,Unknown,'Lectron,Legion of Galactic Guardians 2099,,Male ,,Electro Live Wire ,Alive ,Earth-12772 ,,Secret ,,,R.K. Sternsel ,Adventurer
1,Unknown,'Selka,,,Female ,White ,,Alive ,Earth-928 ,,Public ,American,,Len Kaminski Kyle Hotz ,Homeless
2,'Spinner,,Galactic Alliance of Spider-Men,Single ,Male ,,Alien ,Alive ,Earth-616 ,,Secret ,,,Stuart Moore Clayton Henry ,
3,Unknown,'Spinner,"Galactic Alliance of Spider-Men, S.H.I.E.L.D., Spider-Force, Spider-Men",,Male ,,,Alive ,Earth-TRN461 ,,,,,Gameloft ,"Government agent, police officer"
4,01100010 01110010 01110101 01110100 01100101,Brute,,Single ,,,Robot ,Alive ,Earth-616 ,,No Dual ,,,Skottie Young Jake Parker ,
5,Unknown,107,"Psigns of the Times, Justice, Marvel BoyFormerlyAlison Gaulthing, Adrenamix Corporation",Single ,Male ,,Human Mutate ,Alive ,Earth-616 ,,Secret ,American,,Fabian Nicieza Craig Brasfield ,Test subject; former agent of Adrenamix
6,Unknown,11-Ball,Formerly 8-Ball; 8-Ball's Gang,Single ,Male ,,Human ,Alive ,Earth-616 ,,Secret ,American,,Bob Budiansky Bret Blevins ,Professional criminal; former henchman
7,Unknown,115,Legion,Single ,Female ,White ,mutant Legion ,Alive ,Earth-616 ,,Secret ,,,Zeb Wells ,
8,Unknown,14,Psigns of the Times; Adrenamix Corporation,Single ,Female ,,Human Mutate ,Alive ,Earth-616 ,,Secret ,American,,Fabian Nicieza Craig Brasfield ,"Formerly test subject, agent of Adrenamix"
9,Unknown,181,Legion,Single ,,Black ,mutant Legion ,Alive ,Earth-616 ,Legion ,Secret ,,,Mike Carey Jorge Molina ,
10,26,,"27 (""brother"")",,Male ,,Boar Mutated Gamma Radiation ,Alive ,Earth-616 ,,No Dual ,,,Jason Aaron Marc Silvestri ,Animal
11,Unknown,2600,"Hotwire Martyrs (Zero, Phrack, Warewolf)",,Male ,Blond ,,Alive ,Earth-928 ,,Secret ,American,,Len Kaminski Chris Bachalo ,Hacker
12,Unknown,2600,Hotwire Martyrs,Single ,Male ,Bald ,Human ,Deceased ,Earth-TRN767 ,,Secret ,American,,Ed Brisson Damian Couceiro ,Gang member
13,27,27,Wild Boar stands for Royal Bloodline,,Male ,,Boar Mutated Gamma Radiation ,Alive ,Earth-616 ,,No Dual ,,Extensive and Broad spectrum,Jason Aaron Marc Silvestri ,Animal
14,3.14159,,Sentinels,,Male ,No Hair At All ,Sentinel ,Alive ,Earth-1191 ,,No Dual ,,Artificial Intelligence,John Byrne Jim Lee Whilce Portacio Larry Hama Dwayne Turner ,Former hunter of mutants
15,Unknown,302,Legion,Single ,Male ,Black ,mutant Legion ,Alive ,Earth-616 ,Legion ,Secret ,,,Mike Carey Khoi Pham ,
16,Unknown,4107,X-Men,Single ,Agender ,No Hair At All ,Robotic Mutant ,Alive ,Earth-24201 ,,No Dual ,X-Topian,,Marc Guggenheim Carmine Di Giandomenico ,"Assistant, Strategist"
17,Unknown,6-Ball,Formerly 8-Ball; 8-Ball's Gang,Single ,Male ,,Human ,Alive ,Earth-616 ,,Secret ,American,,Bob Budiansky Bret Blevins ,Professional criminal; former henchman
18,627,Skully,"Formerly New Avengers, Skull-Net, Red Skull",,Agender ,No Hair At All ,,Deceased ,Earth-12041 ,,Public ,,,Man of Action ,
19,Unknown,6R,Sentinels,,Agender ,,Sentinel Mk II ,Deceased ,Earth-616 ,Sentinel Headquarters New York ,,,,Roy Thomas Neal Adams ,
20,Unknown,7-X9,Gatherers,,Male ,,Alien ,Deceased ,Earth-616 ,,No Dual ,,,Chip Zdarsky Joe Quinones ,
21,Unknown,749,Legion,Single ,Male ,Black ,mutant Legion ,Alive ,Earth-616 ,Legion ,Secret ,,,Mike Carey Khoi Pham ,
22,Unknown,762,Legion,Single ,Male ,Black ,mutant Legion ,Alive ,Earth-616 ,,Secret ,,,Zeb Wells ,
23,Unknown,8-Ball,"Formerly Inklings, Hobgoblin, Black Cat's Criminal Army, All-New Sinister Six, Goblin Nation",Single ,Male ,,Human ,Alive ,Earth-616 ,,Secret ,American,,Dan Slott Christos N. Gage ,Criminal
24,Unknown,8-Ball,"Trapster, Squid, Poundcakes, Boomerang, Powderkeg, Hydro-Man, Blindside",Single ,Male ,,Human ,Alive ,Earth-616 ,,Secret ,American,,Dan Slott John Romita Jr ,Professional criminal
25,803,,Space KnightsFormerlyVenom,Single ,Agender ,,Alien Robot ,Alive ,Earth-616 ,,No Dual ,,,Robbie Thompson Ariel Olivetti ,
26,803,,,Single ,Agender ,,Alien Robot ,Alive ,Earth-TRN841 ,,No Dual ,,,Robbie Thompson Jim Towe Matt Horak ,
27,Unknown,88,Formerly Bartholomew Ingrid,Single ,Male ,Blond ,Human ,Deceased ,Earth-616 ,,Secret ,American,,Fabian Nicieza Rick Mays ,Militia man
28,89P13,Rocket,Guardians of the Galaxy,,Male ,,Halfworlder ,Alive ,Earth-415 ,,Public ,,,Marc Sumerak Andrea Di Vito ,
29,89P13,Rocket Raccoon,Guardians of the Galaxy,Single ,Male ,Black Brown White ,Halfworlder ,Alive ,Earth-12041 ,Halfworld ,No Dual ,Halfworlders,,Tim Maltby Brian Michael Bendis ,Guardian of the Galaxy
30,89P13[1],Rocket Raccoon,Guardians of the Galaxy,,Male ,,Halfworlder ,Alive ,Earth-13122 ,,No Dual ,Halfworlders,,TT Games ,
31,89P13,Rocket Raccoon,"Guardians of the Galaxy,Avengers",Single ,Male ,Black Brown ,Halfworlder ,Alive ,Earth-17628 ,Halfworld ,No Dual ,Halfworlders,,Marty Isenberg ,Adventurer
32,89P13,Rocket Raccoon,"Guardians of the Galaxy, S.H.I.E.L.D., Super Hero Squad",Single ,Male ,Black Brown White ,Halfworlder ,Alive ,Earth-91119 ,,Public ,,,The Amazing Society ,Adventurer
33,89P13,Rocket,"Guardians of the GalaxyFormerlyAvengers, ally of Wakandans and White Wolf",Single ,Male ,Black Brown White ,Halfworlder Mutate Cyborg ,Alive ,Earth-199999 ,Halfworld Keystone Quadrant citation needed ,Public ,,,James Gunn Nicole Perlman ,Adventurer; former mercenary
34,89P13,Rocket Raccoon,"Guardians of the Galaxy, SummonerFormerlyBlue Faction",Single ,Male ,,Halfworlder Mutate Cyborg ,Alive ,Unknown Reality Earth-TRN517 ,Halfworld ,Public ,Halfworlders,,Kabam ,
35,89P13,Rocket Raccoon,Guardians of the Galaxy,Single ,Male ,Brown ,Halfworlder Mutate Cyborg ,Alive ,Earth-TRN626 ,,Public ,Halfworlder,,Telltale Games ,Adventurer
36,Rocket Raccoon,,Guardians of the Galaxy,Single ,Male ,Black Brown White ,Halfworlder ,Alive ,Earth-TRN717 ,,No Dual ,Halfworlders,,Arnaud Delord Chris Wyatt Kevin Burke ,Guardian of the Galaxy
37,89P13,Rocket Raccoon,Guardians of the Galaxy,Single ,Male ,Black Brown White ,Halfworlder Mutate Cyborg ,Alive ,Earth-TRN835 ,,,Halfworlders,,,
38,89P13,Rocket Raccoon,Groot,Single ,,Brown ,Halfworlder ,Alive ,Earth-TRN838 ,,No Dual ,Halfworlders,,Mark Banker ,Adventurer
39,89P13,Rocket,,Single ,Male ,Black Brown White ,Halfworlder Mutate Cyborg ,Alive ,Earth-TRN903 ,,Public ,,,A.C. Bradley ,Mercenary
40,Unknown,9-Ball,Formerly 8-Ball; 8-Ball's Gang,Single ,Male ,,Human ,Alive ,Earth-616 ,,Secret ,American,,Bob Budiansky Bret Blevins ,Professional criminal; former henchman
41,Unknown,933,Legion,Single ,Male ,Black ,mutant Legion ,Alive ,Earth-616 ,Legion ,Secret ,,,Mike Carey Khoi Pham ,
42,Unknown,99,"Psigns of the Times; Justice, Marvel BoyFormerlyAlison Gaulthing, the Adrenamix Corporation",Single ,Male ,,Human mutate ,Alive ,Earth-616 ,,Secret ,American,,Fabian Nicieza Craig Brasfield ,"Former Test subject, agent of Adrenamix"
43,Unknown,A Friend,,Single ,Male ,Blond ,Demon ,Alive ,Earth-616 ,,No Dual ,,,Tony Isabella Jim Mooney ,Savior
44,Unknown,A La Mode,Lunch Legion,,,,Jersey ,Alive ,Earth-9047 ,,Secret ,American,,Rob Tokar Keith Wilson ,Criminal
45,A'di,,"Alpha Flight, Alpha Cadets",Single ,Female ,Black ,Human ,Alive ,Earth-616 ,Wakanda ,No Dual ,Wakandan,,Margaret Stohl Michele Bandini ,Cadet
46,A'ishah,,Church of Lucifer,Single ,Female ,,Human ,Alive ,Earth-616 ,,Secret ,,,Warren Ellis ,Priestess
47,A'Kane,,,Widowed ,Female ,Black ,Human ,Deceased ,Earth-616 ,Wakanda ,No Dual ,Wakandan,,Tom Brevoort Mike Kanterovich Dante Bastianoni ,Supreme Technologist of Wakanda; Head of the Vibrasurge Project; Scientist
48,A'Kurru U'mbaya,Icon,,Single ,Male ,No Hair At All ,Human Mutate ,Alive ,Earth-616 ,,Secret ,Wakandan,,Scott Lobdell Scott Kolins ,"Scientist, terrorist"
49,A'Lars[1],Mentor,"Formerly Eternals of Titan, Eternals of Titanos",Married ,Male ,White Black ,Eternal ,Alive ,Earth-616 ,,Public ,"Titanian Eternals,  formerly Titanos",,Jim Starlin Mike Friedrich ,Formerly ruler of the Eternals of Titan
50,A'Lars,Mentor,,,Male ,White ,Eternal ,Alive ,Earth-829 ,,,Titan,,Bob Layton ,
51,A'Lars,Mentor,,,Male ,White ,,Alive ,Earth-906 ,,,"Titanian Eternals,  formerly Titanos",,Matthew Jorgensen ,
52,A'Lars,Mentor,Eternals of Titan,Married ,Male ,White Black ,Eternal ,Alive ,Earth-9997 ,,Secret ,Titan,,Jim Krueger Alex Ross Doug Braithwaite ,Ruler of Titan
53,A'Lars,Mentor,,,Male ,White ,Eternal ,Alive ,Earth-77640 ,,,Titanian Eternals,,Fred Hembeck ,
54,A'Lars,,,,Male ,,Titan ,Alive ,Earth-199999 ,Titan ,No Dual ,,,Christopher Markus Stephen McFeely ,
55,A'Sai,,"Grunz, Truck and his team of kids",Single ,Male ,Bald ,Alien ,Alive ,Earth-616 ,,Secret ,,,Jim Shooter Sal Buscema ,"Gambler, thief"
56,Unknown,A'yin,Dragons of the Crimson Dawn,Single ,Male ,Bald ,Human ,Alive ,Earth-616 ,,Secret ,,,Ben Raab Salvador Larroca ,
